"CsvFile","RelativePath","ErrorType","Details"
"activities.csv","projects\Red_Sea_Resort_Phase_2\data\import_templates\activities.csv","Irregular Preview Row","Row 3 has 12 columns. Expected 11"
"activities.csv","projects\Red_Sea_Resort_Phase_2\data\import_templates\activities.csv","Irregular Preview Row","Row 7 has 12 columns. Expected 11"
"wbs.csv","projects\Red_Sea_Resort_Phase_2\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
"wbs.csv","projects\Red_Sea_Resort_Phase_2\data\import_templates\wbs.csv","Irregular Preview Row","Row 7 has 6 columns. Expected 5"
"12-client_steel_demand_by_dia_wide.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\12-client_steel_demand_by_dia_wide.csv","Duplicate Column","Column repeated: RFT for Walls Count: 2"
"change_orders.csv","projects\The-BIG\data\import_templates\change_orders.csv","Irregular Preview Row","Row 2 has 16 columns. Expected 12"
"projects.csv","projects\The-BIG\data\import_templates\projects.csv","Irregular Preview Row","Row 2 has 16 columns. Expected 14"
"rfi_ status.csv","projects\The-BIG\data\import_templates\rfi_ status.csv","Irregular Preview Row","Row 2 has 10 columns. Expected 8"
"rfi_ status.csv","projects\The-BIG\data\import_templates\rfi_ status.csv","Irregular Preview Row","Row 3 has 11 columns. Expected 8"
"rfi_ status.csv","projects\The-BIG\data\import_templates\rfi_ status.csv","Irregular Preview Row","Row 5 has 11 columns. Expected 8"
"rft_qtys.csv","projects\The-BIG\data\import_templates\rft_qtys.csv","Irregular Preview Row","Row 6 has 23 columns. Expected 22"
"rft_qtys.csv","projects\The-BIG\data\import_templates\rft_qtys.csv","Irregular Preview Row","Row 12 has 23 columns. Expected 22"
