project_id,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors
The Big -P.01-UP-20-April-26,CON-B01-5TH-1010,"RFT for Walls, Col. & Cores (B01) (5th)","CON-B01-5TH-1000, CON-B01-5TH-1000, E-APP-B01-5TH-1000, P-MDEL-1080","CON-B01-5TH-1000: SS 3, CON-B01-5TH-1000: FF, E-APP-B01-5TH-1000: FS, P-MDEL-1080: FS","CON-B01-5TH-1020, CON-B01-5TH-1020"
The Big -P.01-UP-20-April-26,CON-B01-5TH-1050,"RFT for Slabs, Beams & Stairs (B01) (5th)","CON-B01-5TH-1040, CON-B01-5TH-1040, E-APP-B01-5TH-1010, E-APP-B01-5TH-1020, E-APP-B01-5TH-1030, P-MDEL-1080","CON-B01-5TH-1040: SS 4, CON-B01-5TH-1040: FF, E-APP-B01-5TH-1010: FS, E-APP-B01-5TH-1020: FS, E-APP-B01-5TH-1030: FS, P-MDEL-1080: FS",CON-B01-5TH-1060
The Big -P.01-UP-20-April-26,CON-B04-5TH-1010,"RFT for Walls, Col. & Cores (B04) (5th)","CON-B04-5TH-1000, CON-B04-5TH-1000, E-APP-B04-5TH-1000, P-MDEL-1080","CON-B04-5TH-1000: SS 3, CON-B04-5TH-1000: FF, E-APP-B04-5TH-1000: FS, P-MDEL-1080: FS","CON-B04-5TH-1020, CON-B04-5TH-1020"
The Big -P.01-UP-20-April-26,CON-B04-5TH-1050,"RFT for Slabs, Beams & Stairs (B04) (5th)","CON-B04-5TH-1040, CON-B04-5TH-1040, E-APP-B04-5TH-1010, E-APP-B04-5TH-1020, E-APP-B04-5TH-1030, P-MDEL-1080","CON-B04-5TH-1040: SS 3, CON-B04-5TH-1040: FF, E-APP-B04-5TH-1010: FS, E-APP-B04-5TH-1020: FS, E-APP-B04-5TH-1030: FS, P-MDEL-1080: FS",CON-B04-5TH-1060
The Big -P.01-UP-20-April-26,CON-B01-6TH-1010,"RFT for Walls, Col. & Cores (B01) (6th)","CON-B01-6TH-1000, CON-B01-6TH-1000, E-APP-B01-6TH-1000, P-MDEL-1070","CON-B01-6TH-1000: SS 3, CON-B01-6TH-1000: FF, E-APP-B01-6TH-1000: FS, P-MDEL-1070: FS","CON-B01-6TH-1020, CON-B01-6TH-1020"
The Big -P.01-UP-20-April-26,CON-B01-6TH-1050,"RFT for Slabs, Beams & Stairs (B01) (6th)","CON-B01-6TH-1040, CON-B01-6TH-1040, E-APP-B01-6TH-1010, E-APP-B01-6TH-1020, E-APP-B01-6TH-1030, P-MDEL-1070","CON-B01-6TH-1040: SS 4, CON-B01-6TH-1040: FF, E-APP-B01-6TH-1010: FS, E-APP-B01-6TH-1020: FS, E-APP-B01-6TH-1030: FS, P-MDEL-1070: FS",CON-B01-6TH-1060
The Big -P.01-UP-20-April-26,CON-B04-6TH-1010,"RFT for Walls, Col. & Cores (B04) (6th)","CON-B04-6TH-1000, CON-B04-6TH-1000, E-APP-B04-6TH-1000, P-MDEL-1070","CON-B04-6TH-1000: SS 3, CON-B04-6TH-1000: FF, E-APP-B04-6TH-1000: FS, P-MDEL-1070: FS","CON-B04-6TH-1020, CON-B04-6TH-1020"
The Big -P.01-UP-20-April-26,CON-B04-6TH-1050,"RFT for Slabs, Beams & Stairs (B04) (6th)","CON-B04-6TH-1040, CON-B04-6TH-1040, E-APP-B04-6TH-1010, E-APP-B04-6TH-1020, E-APP-B04-6TH-1030, P-MDEL-1070","CON-B04-6TH-1040: SS 3, CON-B04-6TH-1040: FF, E-APP-B04-6TH-1010: FS, E-APP-B04-6TH-1020: FS, E-APP-B04-6TH-1030: FS, P-MDEL-1070: FS",CON-B04-6TH-1060
The Big -P.01-UP-20-April-26,E-SUB-B04-1ST-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B04) (1st),E-DR-1000,E-DR-1000: FS 45,"E-APP-B04-1ST-1000, E-APP-B04-1ST-1000, E-SUB-B04-1ST-1010"
The Big -P.01-UP-20-April-26,E-SUB-B04-1ST-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (1st),"E-DR-1000, E-SUB-B04-1ST-1020","E-DR-1000: FS 56, E-SUB-B04-1ST-1020: SS 3","E-APP-B04-1ST-1030, E-APP-B04-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B04-1ST-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (1st),"E-DR-1000, E-SUB-B04-1ST-1010","E-DR-1000: FS 52, E-SUB-B04-1ST-1010: SS 3","E-APP-B04-1ST-1020, E-APP-B04-1ST-1020, E-SUB-B04-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B04-1ST-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B04) (1st),"E-DR-1000, E-SUB-B04-1ST-1000","E-DR-1000: FS 49, E-SUB-B04-1ST-1000: SS 3","E-APP-B04-1ST-1010, E-APP-B04-1ST-1010, E-SUB-B04-1ST-1020"
The Big -P.01-UP-20-April-26,E-SUB-B03-1ST-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B03) (1st),E-DR-1000,E-DR-1000: FS 30,"E-APP-B03-1ST-1000, E-APP-B03-1ST-1000, E-SUB-B03-1ST-1010"
The Big -P.01-UP-20-April-26,E-SUB-B03-1ST-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (1st),"E-DR-1000, E-SUB-B03-1ST-1020","E-DR-1000: FS 40, E-SUB-B03-1ST-1020: SS 3","E-APP-B03-1ST-1030, E-APP-B03-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B03-1ST-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (1st),"E-DR-1000, E-SUB-B03-1ST-1010","E-DR-1000: FS 37, E-SUB-B03-1ST-1010: SS 3","E-APP-B03-1ST-1020, E-APP-B03-1ST-1020, E-SUB-B03-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B03-1ST-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B03) (1st),"E-DR-1000, E-SUB-B03-1ST-1000","E-DR-1000: FS 34, E-SUB-B03-1ST-1000: SS 3","E-APP-B03-1ST-1010, E-APP-B03-1ST-1010, E-SUB-B03-1ST-1020"
The Big -P.01-UP-20-April-26,E-SUB-B02-1ST-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B02) (1st),E-DR-1000,E-DR-1000: FS 35,"E-APP-B02-1ST-1000, E-APP-B02-1ST-1000, E-SUB-B02-1ST-1010"
The Big -P.01-UP-20-April-26,E-SUB-B02-1ST-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B02) (1st),"E-DR-1000, E-SUB-B02-1ST-1020","E-DR-1000: FS 45, E-SUB-B02-1ST-1020: SS 3","E-APP-B02-1ST-1030, E-APP-B02-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B02-1ST-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B02) (1st),"E-DR-1000, E-SUB-B02-1ST-1010","E-DR-1000: FS 42, E-SUB-B02-1ST-1010: SS 3","E-APP-B02-1ST-1020, E-APP-B02-1ST-1020, E-SUB-B02-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B02-1ST-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B02) (1st),"E-DR-1000, E-SUB-B02-1ST-1000","E-DR-1000: FS 38, E-SUB-B02-1ST-1000: SS 3","E-APP-B02-1ST-1010, E-APP-B02-1ST-1010, E-SUB-B02-1ST-1020"
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (1st),E-DR-1000,E-DR-1000: FS 30,"E-APP-B01-1ST-1000, E-APP-B01-1ST-1000, E-SUB-B01-1ST-1010"
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (1st),"E-DR-1000, E-SUB-B01-1ST-1020","E-DR-1000: FS 40, E-SUB-B01-1ST-1020: SS 2","E-APP-B01-1ST-1030, E-APP-B01-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (1st),"E-DR-1000, E-SUB-B01-1ST-1010","E-DR-1000: FS 37, E-SUB-B01-1ST-1010: SS 3","E-APP-B01-1ST-1020, E-APP-B01-1ST-1020, E-SUB-B01-1ST-1030"
The Big -P.01-UP-20-April-26,E-SUB-B01-1ST-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (1st),"E-DR-1000, E-SUB-B01-1ST-1000","E-DR-1000: FS 34, E-SUB-B01-1ST-1000: SS 3","E-APP-B01-1ST-1010, E-APP-B01-1ST-1010, E-SUB-B01-1ST-1020"
The Big -P.01-UP-20-April-26,E-APP-B02-1ST-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B02) (1st),"E-SUB-B02-1ST-1000, E-SUB-B02-1ST-1000","E-SUB-B02-1ST-1000: SS 12, E-SUB-B02-1ST-1000: FF 10","CON-B02-1ST-1010, CON-B02-1ST-1020"
The Big -P.01-UP-20-April-26,E-APP-B02-1ST-1030,Approval for Slabs Conc. Dim.  & RFT DWGs (B02) (1st),"E-SUB-B02-1ST-1030, E-SUB-B02-1ST-1030","E-SUB-B02-1ST-1030: SS 12, E-SUB-B02-1ST-1030: FF 10","CON-B02-1ST-1040, CON-B02-1ST-1050"
