Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0.0,CON-EW-B04-1000,Soil Replacement & Leveling & Compaction (B04),Approved Baseline.CON.EW.B04,The Big -P.01-UP-20-April-26,7.0,7.0,27-Dec-25,3-Jan-26,27-Dec-25,3-Jan-26,0.0,0.0,0.0,0.0,0.0,84.0,"E-APP-B04-REP-1000, P-MDEL-1010, CON-B04-WT-1140","CON-EW-B04-1010, CON-EW-B04-1010, AB-SUB-B04-REP-1000",84.0,0%,Yes,Yes
0.0,CON-B03-FOOT-1020,Curing for PC Raft (B03) (footing),Approved Baseline.CON.P01.B03.SUB.F,The Big -P.01-UP-20-April-26,3.0,3.0,28-Dec-25,30-Dec-25,28-Dec-25,30-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,CON-B03-FOOT-1010,CON-B03-FOOT-1030,0.0,0%,Yes,Yes
0.0,CON-B01-BAS02-1020,"Shuttering for Walls, Col. & Cores (B01) (Bas 02)",Approved Baseline.CON.P02.B01.SUB.2ndB,The Big -P.01-UP-20-April-26,15.0,15.0,29-Dec-25,15-Jan-26,29-Dec-25,15-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B01-BAS02-1010, CON-B01-BAS02-1010, E-APP-B01-BAS02-1000",CON-B01-BAS02-1030,0.0,0%,Yes,Yes
0.0,CON-EW-B04-1010,Soil Compaction Test (B04),Approved Baseline.CON.EW.B04,The Big -P.01-UP-20-April-26,7.0,7.0,29-Dec-25,5-Jan-26,29-Dec-25,5-Jan-26,0.0,0.0,0.0,0.0,0.0,12.0,"CON-EW-B04-1000, CON-EW-B04-1000","CON-B04-FOOT-1000, AB-SUB-B04-REP-1000",12.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1090,Pouring for RC Raft & Footings (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,2.0,2.0,31-Dec-25,1-Jan-26,31-Dec-25,1-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B02-FOOT-1050, P-MDEL-1030","CON-B02-FOOT-1100, AB-SUB-B02-FOOT-1020",0.0,0%,Yes,Yes
0.0,CON-B03-FOOT-1030,Waterproofing & Ins. Protection works (B03) (footing),Approved Baseline.CON.P01.B03.SUB.F,The Big -P.01-UP-20-April-26,2.0,2.0,31-Dec-25,1-Jan-26,31-Dec-25,1-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,"P-MDEL-1040, E-APP-B03-FOOT-1000, CON-B03-FOOT-1020","CON-B03-FOOT-1040, CON-B03-FOOT-1040",0.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1100,Curing & Deshuttering for RC Raft & Footings (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,3.0,3.0,2-Jan-26,4-Jan-26,2-Jan-26,4-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B02-FOOT-1090, CON-B02-FOOT-1080","CON-B02-BAS02-1000, CON-B02-FOOT-1110",0.0,0%,Yes,Yes
0.0,CON-B03-FOOT-1040,Shuttering for RC Raft & Footings (B03) (footing),Approved Baseline.CON.P01.B03.SUB.F,The Big -P.01-UP-20-April-26,10.0,10.0,4-Jan-26,15-Jan-26,4-Jan-26,15-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B03-FOOT-1030, E-APP-B03-FOOT-1020, CON-B03-FOOT-1030","CON-B03-FOOT-1050, AB-SUB-B03-FOOT-1010, CON-B03-FOOT-1050, CON-B03-FOOT-1060",0.0,0%,Yes,Yes
0.0,CON-B03-FOOT-1050,RFT for RC Raft & Footings (B03) (footing),Approved Baseline.CON.P01.B03.SUB.F,The Big -P.01-UP-20-April-26,10.0,10.0,5-Jan-26,17-Jan-26,5-Jan-26,17-Jan-26,0.0,0.0,0.0,0.0,0.0,1.0,"CON-B03-FOOT-1040, E-APP-B03-FOOT-1030, CON-B03-FOOT-1040, P-MDEL-1000","CON-B03-FOOT-1080, AB-SUB-B03-FOOT-1020",1.0,0%,Yes,Yes
0.0,CON-B02-BAS02-1000,"Scaffolding works for Walls, Col. & Cores (B02) (Bas 02)",Approved Baseline.CON.P02.B02.SUB.2ndB,The Big -P.01-UP-20-April-26,7.0,7.0,5-Jan-26,13-Jan-26,5-Jan-26,13-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,CON-B02-FOOT-1100,"CON-B02-BAS02-1010, CON-B03-BAS02-1000, CON-B02-BAS02-1010",0.0,0%,Yes,Yes
0.0,CON-B02-BAS02-1010,"RFT for Walls, Col. & Cores (B02) (Bas 02)",Approved Baseline.CON.P02.B02.SUB.2ndB,The Big -P.01-UP-20-April-26,12.0,12.0,5-Jan-26,19-Jan-26,5-Jan-26,19-Jan-26,0.0,0.0,0.0,0.0,0.0,1.0,"CON-B02-BAS02-1000, CON-B02-BAS02-1000, E-APP-B02-BAS02-1000, P-MDEL-1170","CON-B02-BAS02-1020, CON-B03-BAS02-1010, CON-B02-BAS02-1020",1.0,0%,Yes,Yes
0.0,CON-B04-FOOT-1000,Shuttering for PC Raft (B04) (footing),Approved Baseline.CON.P01.B04.SUB.1,The Big -P.01-UP-20-April-26,1.0,1.0,6-Jan-26,6-Jan-26,6-Jan-26,6-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,"E-APP-B04-FOOT-1010, CON-EW-B04-1010, P-MDEL-1020","CON-B04-FOOT-1010, AB-SUB-B04-FOOT-1000",0.0,0%,Yes,Yes
