Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0,CON-B03-2ND-1010,"RFT for Walls, Col. & Cores (B03) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.2ndF,The Big -P.01-UP-20-April-26,12,12,11-Aug-26,24-Aug-26,19-Nov-26,2-Dec-26,0.0,-84.0,0,0,0.0,1.0,"CON-B03-2ND-1000, CON-B03-2ND-1000, E-APP-B03-2ND-1000, P-MDEL-1110","CON-B03-2ND-1020, CON-B03-2ND-1020",1,0%,Yes,No
0,CON-B04-3RD-1010,"RFT for Walls, Col. & Cores (B04) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.3rdF,The Big -P.01-UP-20-April-26,8,8,11-Aug-26,19-Aug-26,3-Dec-26,12-Dec-26,0.0,-96.0,0,0,0.0,1.0,"CON-B04-3RD-1000, CON-B04-3RD-1000, E-APP-B04-2RD-1000, P-MDEL-1100","CON-B04-3RD-1020, CON-B04-3RD-1020",1,0%,Yes,No
0,CON-B01-3RD-1050,"RFT for Slabs, Beams & Stairs (B01) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.3rdF,The Big -P.01-UP-20-April-26,10,10,12-Aug-26,23-Aug-26,20-Dec-26,30-Dec-26,0.0,-109.0,0,0,0.0,0.0,"CON-B01-3RD-1040, CON-B01-3RD-1040, P-MDEL-1100",CON-B01-3RD-1060,0,0%,Yes,Yes
0,CON-B04-3RD-1020,"Shuttering for Walls, Col. & Cores (B04) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.3rdF,The Big -P.01-UP-20-April-26,8,8,15-Aug-26,23-Aug-26,7-Dec-26,15-Dec-26,0.0,-96.0,0,0,0.0,0.0,"CON-B04-3RD-1010, CON-B04-3RD-1010, E-APP-B04-2RD-1000",CON-B04-3RD-1030,0,0%,Yes,No
0,CON-B03-2ND-1020,"Shuttering for Walls, Col. & Cores (B03) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.2ndF,The Big -P.01-UP-20-April-26,12,12,16-Aug-26,30-Aug-26,24-Nov-26,7-Dec-26,0.0,-84.0,0,0,0.0,0.0,"CON-B03-2ND-1010, CON-B03-2ND-1010, E-APP-B03-2ND-1000",CON-B03-2ND-1030,0,0%,Yes,No
0,CON-B01-3RD-1060,"Pouring for Slabs, Beams & Stairs (B01) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.3rdF,The Big -P.01-UP-20-April-26,3,3,24-Aug-26,26-Aug-26,31-Dec-26,3-Jan-27,0.0,-109.0,0,0,0.0,0.0,"CON-B01-3RD-1050, P-MDEL-1030","CON-B01-3RD-1070, AB-SUB-B01-3RD-1030, AB-SUB-B01-3RD-1010, AB-SUB-B01-3RD-1020, CON-B01-4TH-1000",0,0%,Yes,Yes
0,CON-B04-3RD-1030,"Pouring for Walls, Col. & Cores (B04) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.3rdF,The Big -P.01-UP-20-April-26,1,1,24-Aug-26,24-Aug-26,16-Dec-26,16-Dec-26,0.0,-96.0,0,0,0.0,0.0,"CON-B04-3RD-1020, P-MDEL-1030","CON-B04-3RD-1040, AB-SUB-B04-3RD-1000",0,0%,Yes,No
0,CON-B04-3RD-1040,"Shuttering for Slabs, Beams & Stairs (B04) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.3rdF,The Big -P.01-UP-20-April-26,10,10,25-Aug-26,6-Sep-26,17-Dec-26,28-Dec-26,0.0,-96.0,0,0,0.0,0.0,"E-APP-B04-2RD-1030, E-APP-B04-2RD-1020, E-APP-B04-2RD-1010, CON-B04-3RD-1030, CON-B04-2ND-1080","CON-B04-3RD-1050, CON-B04-3RD-1050",0,0%,Yes,No
0,CON-B01-4TH-1000,"Scaffolding works for Walls, Col. & Cores (B01) (4th)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.4thF,The Big -P.01-UP-20-April-26,5,5,30-Aug-26,3-Sep-26,5-Jan-27,11-Jan-27,0.0,-109.0,0,0,0.0,0.0,CON-B01-3RD-1060,"CON-B01-4TH-1010, CON-B01-4TH-1010",0,0%,Yes,Yes
0,CON-B03-2ND-1030,"Pouring for Walls, Col. & Cores (B03) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.2ndF,The Big -P.01-UP-20-April-26,2,2,31-Aug-26,1-Sep-26,8-Dec-26,9-Dec-26,0.0,-84.0,0,0,0.0,0.0,"CON-B03-2ND-1020, P-MDEL-1030","CON-B03-2ND-1040, AB-SUB-B03-2ND-1000",0,0%,Yes,No
0,CON-B04-3RD-1050,"RFT for Slabs, Beams & Stairs (B04) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.3rdF,The Big -P.01-UP-20-April-26,10,10,31-Aug-26,10-Sep-26,22-Dec-26,2-Jan-27,0.0,-96.0,0,0,0.0,0.0,"CON-B04-3RD-1040, CON-B04-3RD-1040, E-APP-B04-2RD-1010, E-APP-B04-2RD-1020, E-APP-B04-2RD-1030, P-MDEL-1100",CON-B04-3RD-1060,0,0%,Yes,No
